Reaction	EC-Number	Object ID
puberulonate + H2O  =  puberulate + CO2 + H+	EC-4.1.1.60	RXN-16832
L-tyrosine + dioxygen + H2O  ->  (4-hydroxyphenyl)acetaldehyde + CO2 + ammonia + hydrogen peroxide	EC-4.1.1.108	RXN-19274
(S)-2-benzoylsuccinyl-CoA + coenzyme A  ->  benzoyl-CoA + succinyl-CoA	EC-2.3.1.310	RXN-904
UDP-alpha-D-galacturonate + H+  =  UDP-beta-L-arabinopyranose + CO2	EC-4.1.1.67	UDP-GALACTURONATE-DECARBOXYLASE-RXN
a phosphatidylethanolamine + L-serine  <-->  a phosphatidylserine + ethanolamine	EC-2.7.8.29	RXN-1382
N-3-fumaramoyl-L-2,3-diaminopropanoate + L-leucine + ATP  ->  dapdiamide C + ADP + phosphate + H+	EC-6.3.2.47	RXN-16293
(2E,6E)-farnesyl diphosphate  ->  beta-longipinene + diphosphate	EC-4.2.3	RXN-8559
2-phosphono-formylglycerate  ->  1-carboxyvinyl carboxyphosphonate + H2O	EC-4.2.1	RXN-10826
malonyl-CoA + lignoceroyl-CoA + H+  ->  3-oxocerotoyl-CoA + CO2 + coenzyme A	EC-2.3.1.199	RXN-13296
S-adenosyl-L-methionine + 2-heptyl-1-hydroxy-4(1H)-quinolinone  ->  S-adenosyl-L-homocysteine + 2-heptyl-1-methoxyquinolin-4(1H)-one + H+	EC-2.1.1.374	RXN-22019
2-methoxy-6-(all-trans-octaprenyl)phenol + NADPH + dioxygen + H+  ->  2-methoxy-6-all trans-octaprenyl-1,4-benzoquinol + NADP+ + H2O	EC-1.14.13.M56	2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN
riboflavin + alpha-D-glucopyranose 1-phosphate  =  D-glucopyranose + FMN	EC-2.7.1.42	RIBOFLAVIN-PHOSPHOTRANSFERASE-RXN
4-nitrophenyl-beta-D-galactofuranoside + H2O  ->  D-galactofuranose + 4-nitrophenol + H+	EC-3.2.1.M10	RXN-18818
(25R)-26-oxocholest-4-en-3-one + NAD+ + H2O  ->  (25R)-3-oxocholest-4-en-26-oate + NADH + 2 H+	EC-1.2.1	RXN-21459
L-cysteine + L-homocysteine  <-->  L-cystathionine + hydrogen sulfide	EC-4.2.1.22	RXN66-562
asperlicin C + NAD(P)H + H+ + dioxygen  ->  asperlicin E + NAD(P)+ + H2O	EC-1.14.13.216	RXN-15799
ATP + UDP-4-amino-4-deoxy-beta-L-arabinopyranose + 2-oxoglutarate  ->  UDP-aravonose + ADP + phosphate + H+	EC-6.3.2.M1	RXN-18324
coumarinate + H+  ->  coumarin + H2O		RXN-8037
acibenzolar-<i>S</i>-methyl esterase	EC-3.1.1.1	RXN18C3-61
styrene + FADH2 + dioxygen  ->  (S)-2-phenyloxirane + FAD + H+ + H2O	EC-1.14.14.11	RXN-12764
S-adenosyl-L-methionine + 3-hydroxy-5-methyl-1-naphthoate  ->  S-adenosyl-L-homocysteine + 3-methoxy-5-methyl-1-naphthoate + H+	EC-2.1.1.302	RXN-15304
4-aminobutanoate + pyruvate  <-->  succinate semialdehyde + L-alanine	EC-2.6.1.96	RXN-6902
orotidine 5'-phosphate + H+  ->  UMP + CO2	EC-4.1.1.23	OROTPDECARB-RXN
benzaldehyde  ->  salicylaldehyde		RXN-12261
(R,R)-chrysanthemyl diphosphate + H2O  ->  (R,R)-chrysanthemol + diphosphate		RXN-20921
a glycosyl-N-acylsphingosine + H2O  ->  an N-acylsphingosine + a D-aldohexose	EC-3.2.1.62	GLYCOSYLCERAMIDASE-RXN
an N-terminal-L-methionyl-L-aspartyl-[protein] + acetyl-CoA  ->  an N-terminal-Nalpha-acetyl-L-methionyl-L-aspartyl-[protein] + coenzyme A + H+	EC-2.3.1.254	RXN-17852
stearoyl-CoA + a sphingoid base  ->  an N-(stearoyl)-sphingoid base + coenzyme A + H+	EC-2.3.1.299	RXN-20392
D-alanyl-D-alanine + H2O  ->  2 D-alanine	EC-3.4.13.22	3.4.13.22-RXN
(3R)-hydroxynonanoyl-CoA  <-  2-trans-nonenoyl-CoA + H2O	EC-4.2.1.119	RXN-14794
L-glutamate + validone 7-phosphate  ->  2-oxoglutarate + validamine 7-phosphate	EC-2.6.1.M1	RXN-17378
(2S)-liquiritigenin + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (2R,3S)-2,4',7-trihydroxyisoflavanone + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.87	RXN-3283
a monoamine + H2O + dioxygen  ->  an aldehyde + a primary amine + hydrogen peroxide	EC-1.4.3.4	RXN-9598
di-rhamnolipid synthase		RXN-11764
all-trans-hexaprenyl diphosphate + 4-aminobenzoate  ->  3-all trans-hexaprenyl-4-aminobenzoate + diphosphate	EC-2.5.1.39	RXN-14291
solabiose + phosphate  <-->  alpha-D-glucopyranose 1-phosphate + D-galactose	EC-2.4.1.389	RXN-23100
D-ribulose + ATP  ->  ADP + D-ribulose 5-phosphate + H+	EC-2.7.1.47	D-RIBULOKIN-RXN
xylitol + NAD(P)+  <-  D-xylose + NAD(P)H + H+	EC-1.1.1.307	RXN-11315
N-methylhexanamide + H2O  ->  methylamine + hexanoate	EC-3.5.1.39	ALKYLAMIDASE-RXN
ATP + a [myosin light-chain] L-serine  =  a [myosin light-chain]-O-phospho-L-serine + ADP + H+	EC-2.7.11.18	2.7.11.18-RXN
2 a reduced ferredoxin [iron-sulfur] cluster + beta-dihydromenaquinone-9 + dioxygen + 2 H+  ->  2 an oxidized ferredoxin [iron-sulfur] cluster + omega-hydroxy-beta-dihydromenaquinone-9 + H2O	EC-1.14.15.27	RXN-16853
ambiguine J + 2-oxoglutarate + chloride + dioxygen + H+  ->  ambiguine D + succinate + CO2 + H2O	EC-1.14.20.14	RXN-19290
rot-2'-enonate  ->  5'-hydroxy-rot-2'-enonate		RXN-9060
UDP-N-acetyl-alpha-D-mannosamine + 2 NAD+ + H2O  ->  UDP-N-acetyl-alpha-D-mannosaminuronate + 2 NADH + 3 H+	EC-1.1.1.336	UDPMANNACADEHYDROG-RXN
3,7,4'-trimethylquercetin + 2-oxoglutarate + dioxygen  ->  3,7,4'-trimethylquercetagetin + succinate + CO2	EC-1.14.11	RXN-13844
an [E1 ubiquitin-activating enzyme]-S-ubiquitinyl-L-cysteine + an [(E3-independent) E2 ubiquitin-conjugating enzyme]-L-cysteine  ->  an [E1 ubiquitin-activating enzyme]-L-cysteine + an [(E3-independent) E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine	EC-2.3.2.24	RXN-16314
L-lysine + a reduced two electron carrier + dioxygen  ->  5-hydroxy-L-lysine + an oxidized electron carrier + H2O		RXN-22526
1,3-dimethylbenzene + 2 a reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  3-methylbenzyl alcohol + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O	EC-1.14.15.26	RXN-8578
7-chloro-L-tryptophan + dioxygen  ->  3-(7-chloroindol-3-yl)-2-iminopropanoate + hydrogen peroxide + H+	EC-1.4.3.23	RXN-10843
phosphatidylglycerolphosphate (1-oleoyl, 2-palmitoyl) + H2O  ->  1-oleoyl-2-palmitoyl-phosphatidylglycerol + phosphate	EC-3.1.3.27	RXN-13313
an N10-formyltetrahydrofolate + dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose  ->  a tetrahydrofolate + dTDP-3-deoxy-3-formamido-alpha-D-fucose + H+	EC-2.1.2	RXN-22038
S-adenosyl-L-methionine + (R,S)-tetrahydrobenzylisoquinoline  ->  S-adenosyl-L-homocysteine + N-methyl-(R,S)-tetrahydrobenzylisoquinoline + H+	EC-2.1.1.115	2.1.1.115-RXN
D-ribulose 5-phosphate  <-->  D-xylulose 5-phosphate	EC-5.1.3.1	RIBULP3EPIM-RXN
reduced krill luciferin + dioxygen  ->  oxidized krill luciferin + hnu + H2O	EC-1.13.12.18	RXN-18838
Delta1-dihydrotestosterone + H2O  ->  1,17-dihydroxyandrostan-3-one		RXN-21486
(-)-dehydrodiconiferyl acid carboxylate + H+  ->  4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene + CO2	EC-4.1.1	RXN-15821
a (2R,3S,4S)-leucoanthocyanidin + 2-oxoglutarate + dioxygen  ->  a (4S)- 2,3-dehydroflavan-3,4-diol + succinate + CO2 + H2O	EC-1.14.20.4	RXN-18348
ATP + Ni-sirohydrochlorin a,c-diamide + 3 a reduced two electron carrier + H2O  ->  ADP + 15,173-seco-F430-173-acid + 3 an oxidized electron carrier + phosphate	EC-6.3.3.7	RXN-8061
4-(3'-acetyl-5'-hydroxy-4'-oxo-1',4'-dihydronapthalen-2'-yl)-3-oxobutanoate + NADPH + H+  ->  (S)-4-(3'-acetyl-5'-hydroxy-4'-oxo-1',4'-dihydronapthalen-2'-yl)-3-hydroxybutanoate + NADP+	EC-1.1.1	RXN1A0-6310
3-oxo-24-ethyl-26-al-cholest-4-ene dehydrogenase	EC-1.2.1	RXN-12786
cyanidin 3-O-[beta-D-glucosyl-(1->6)]-[beta-D-xylosyl-(1->2)]-beta-D-galactoside + 1-O-feruloyl-beta-D-glucose  ->  cyanidin 3-O-[6-O-feruloyl-beta-D-glucosyl-(1->6)]-[beta-D-xylosyl-(1->2)]-beta-D-galactoside + D-glucopyranose + H+	EC-2.3.1.213	RXN-15323
DIMBOA-beta-D-glucoside + H2O  ->  DIMBOA + D-glucopyranose + H+	EC-3.2.1.182	RXN-7082
(-)-borneol + NAD+  ->  (S)-camphor + NADH + H+	EC-1.1.1.227	--BORNEOL-DEHYDROGENASE-RXN
palmitoyl-CoA + H2O  ->  palmitate + coenzyme A + H+	EC-3.1.2.2	PALMITOYL-COA-HYDROLASE-RXN
cellulose 1,4-&beta;-cellobiosidase (reducing end)	EC-3.2.1	RXN-12289
ATP + amicoumacin B  ->  ADP + amicoumacin B 2-phosphate + H+	EC-2.7.1.230	RXN-20942
