"EC","EC2","ec"
"RXN-16832","RXN-16832","4.1.1.60"
"RXN-19274","RXN-19274","4.1.1.108"
"RXN-904","RXN-904","2.3.1.310"
"UDP-GALACTURONATE-DECARBOXYLASE-RXN","UDP-GALACTURONATE-DECARBOXYLASE","4.1.1.67"
"RXN-1382","RXN-1382","2.7.8.29"
"RXN-16293","RXN-16293","6.3.2.47"
"RXN-8559","RXN-8559","4.2.3"
"RXN-10826","RXN-10826","4.2.1"
"RXN-13296","RXN-13296","2.3.1.199"
"RXN-22019","RXN-22019","2.1.1.374"
"2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN","2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX","1.14.13.M56"
"RIBOFLAVIN-PHOSPHOTRANSFERASE-RXN","RIBOFLAVIN-PHOSPHOTRANSFERASE","2.7.1.42"
"RXN-18818","RXN-18818","3.2.1.M10"
"RXN-21459","RXN-21459","1.2.1"
"RXN66-562","RXN66-562","4.2.1.22"
"RXN-15799","RXN-15799","1.14.13.216"
"RXN-18324","RXN-18324","6.3.2.M1"
"RXN18C3-61","RXN18C3-61","3.1.1.1"
"RXN-12764","RXN-12764","1.14.14.11"
"RXN-15304","RXN-15304","2.1.1.302"
"RXN-6902","RXN-6902","2.6.1.96"
"OROTPDECARB-RXN","OROTPDECARB","4.1.1.23"
"GLYCOSYLCERAMIDASE-RXN","GLYCOSYLCERAMIDASE","3.2.1.62"
"RXN-17852","RXN-17852","2.3.1.254"
"RXN-20392","RXN-20392","2.3.1.299"
"3.4.13.22-RXN","3.4.13.22","3.4.13.22"
"RXN-14794","RXN-14794","4.2.1.119"
"RXN-17378","RXN-17378","2.6.1.M1"
"RXN-3283","RXN-3283","1.14.14.87"
"RXN-9598","RXN-9598","1.4.3.4"
"RXN-14291","RXN-14291","2.5.1.39"
"RXN-23100","RXN-23100","2.4.1.389"
"D-RIBULOKIN-RXN","D-RIBULOKIN","2.7.1.47"
"RXN-11315","RXN-11315","1.1.1.307"
"ALKYLAMIDASE-RXN","ALKYLAMIDASE","3.5.1.39"
"2.7.11.18-RXN","2.7.11.18","2.7.11.18"
"RXN-16853","RXN-16853","1.14.15.27"
"RXN-19290","RXN-19290","1.14.20.14"
"UDPMANNACADEHYDROG-RXN","UDPMANNACADEHYDROG","1.1.1.336"
"RXN-13844","RXN-13844","1.14.11"
"RXN-16314","RXN-16314","2.3.2.24"
"RXN-8578","RXN-8578","1.14.15.26"
"RXN-10843","RXN-10843","1.4.3.23"
"RXN-13313","RXN-13313","3.1.3.27"
"RXN-22038","RXN-22038","2.1.2"
"2.1.1.115-RXN","2.1.1.115","2.1.1.115"
"RIBULP3EPIM-RXN","RIBULP3EPIM","5.1.3.1"
"RXN-18838","RXN-18838","1.13.12.18"
"RXN-15821","RXN-15821","4.1.1"
"RXN-18348","RXN-18348","1.14.20.4"
"RXN-8061","RXN-8061","6.3.3.7"
"RXN1A0-6310","RXN1A0-6310","1.1.1"
"RXN-12786","RXN-12786","1.2.1"
"RXN-15323","RXN-15323","2.3.1.213"
"RXN-7082","RXN-7082","3.2.1.182"
