data,d2,ec,notes
1.11.1.15-RXN,1.11.1.15,1.11.1.15,
1.15.1.2-RXN,1.15.1.2,1.15.1.2,
1.17.4.2-RXN,1.17.4.2,1.17.4.2,
1.2.7.5-RXN,1.2.7.5,1.2.7.5,
1.2.7.8-RXN,1.2.7.8,1.2.7.8,
1.21.4.3-RXN,1.21.4.3,1.21.4.3,
1.21.4.4-RXN,1.21.4.4,1.21.4.4,
1.3.1.9-RXN,1.3.1.9,1.3.1.9,
1.5.5.1-RXN,1.5.5.1,1.5.5.1,
1.6.4.4-RXN,1.6.4.4,1.6.4.4,
1.6.99.5-RXN,1.6.99.5,1.6.99.5,
1.7.2.3-RXN,1.7.2.3,1.7.2.3,
1.8.4.12-RXN,1.8.4.12,1.8.4.12,
1.8.4.14-RXN,1.8.4.14,1.8.4.14,
2.1.1.86-RXN,2.1.1.86,2.1.1.86,
2.3.1.41-RXN,2.3.1.41,2.3.1.41,
2.4.1.212-RXN,2.4.1.212,2.4.1.212,
2.4.1.44-RXN,2.4.1.44,2.4.1.44,
2.4.1.52-RXN,2.4.1.52,2.4.1.52,
2.4.1.58-RXN,2.4.1.58,2.4.1.58,
2.6.1.82-RXN,2.6.1.82,2.6.1.82,
2.7.1.69-RXN,2.7.1.69,2.7.1.69,
2.7.7.8-RXN,2.7.7.8,2.7.7.8,
2.7.8.12-RXN,2.7.8.12,2.7.8.12,
2.8.1.6-RXN,2.8.1.6,2.8.1.6,
3.1.11.1-RXN,3.1.11.1,3.1.11.1,
3.1.11.2-RXN,3.1.11.2,3.1.11.2,
3.1.11.6-RXN,3.1.11.6,3.1.11.6,
3.1.13.1-RXN,3.1.13.1,3.1.13.1,
3.1.13.5-RXN,3.1.13.5,3.1.13.5,
3.1.21.1-RXN,3.1.21.1,3.1.21.1,
3.1.21.2-RXN,3.1.21.2,3.1.21.2,
3.1.21.3-RXN,3.1.21.3,3.1.21.3,
3.1.21.4-RXN,3.1.21.4,3.1.21.4,
3.1.21.5-RXN,3.1.21.5,3.1.21.5,
3.1.21.7-RXN,3.1.21.7,3.1.21.7,
3.1.26.11-RXN,3.1.26.11,3.1.26.11,
3.1.26.12-RXN,3.1.26.12,3.1.26.12,
3.1.26.3-RXN,3.1.26.3,3.1.26.3,
3.1.26.4-RXN,3.1.26.4,3.1.26.4,
3.1.26.8-RXN,3.1.26.8,3.1.26.8,
3.1.27.6-RXN,3.1.27.6,3.1.27.6,
3.2.1.35-RXN,3.2.1.35,3.2.1.35,
3.2.1.96-RXN,3.2.1.96,3.2.1.96,
3.2.1.97-RXN,3.2.1.97,3.2.1.97,
3.2.2.15-RXN,3.2.2.15,3.2.2.15,
3.2.2.21-RXN,3.2.2.21,3.2.2.21,
3.2.2.23-RXN,3.2.2.23,3.2.2.23,
3.4.11.1-RXN,3.4.11.1,3.4.11.1,
3.4.11.10-RXN,3.4.11.10,3.4.11.10,
